ncessch,school_name,lea_name,school_type,school_level,charter,magnet,suspension_rate,counselors_per_student,counselor_quartile,pct_black,pct_hispanic,pct_white,pct_frp_lunch,enrollmentwhite,enrollment,free_lunch,pct_free_lunch,reduced_price_lunch,pct_rp_lunch,frp_lunch,students_oos_suspension,student_suspension_rate,suspensions_instances,homicide_ind,rape_incidents,sexual_battery_incidents,robbery_w_weapon_incidents,robbery_w_firearm_incidents,robbery_no_weapon_incidents,attack_w_weapon_incidents,attack_w_firearm_incidents,attack_no_weapon_incidents,threats_w_weapon_incidents,threats_w_firearm_incidents,threats_no_weapon_incidents,possession_firearm_incidents,num_incidents,incident_rate,counselors_fte,social_workers_fte,socialworkers_per_student,pct_students_oos_suspension,enrollment_by_1000
420002400352,Nittany Valley CS,Nittany Valley CS,Regular school,Elementary,1,0,0,0,1,4.0816326,6.1224489,85.714287,,42,49,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.048999999
420002600359,La Academia Partnership Charter School,La Academia Partnership Charter School,Regular school,High School,1,0,1,0,1,2.5,90,2.5,98,5,200,188,94,8,4,196,12,6,2,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2,0,1,.5,6,.2
420002700366,Sylvan Heights Science CS,Sylvan Heights Science CS,Regular school,Elementary,1,0,12.55814,.46511629,4,66.511627,22.790697,2.7906976,100,6,215,215,100,0,0,215,18,8.3720932,27,0,0,0,0,0,0,0,0,7,0,0,0,0,7,3.2558138,1,0,0,8.3720932,.215
420003000379,School Lane CS,School Lane CS,Regular school,K-12,1,0,4.3754973,.31821799,3,14.319809,10.739857,40.731903,39.618137,512,1257,433,34.447098,65,5.171042,498,36,2.8639617,55,0,0,0,0,0,0,0,0,7,0,0,0,0,7,.55688149,4,0,0,2.8639617,1.257
420003500388,Chester Community CS,Chester Community CS,Regular school,Elementary,1,0,68.093857,.16932753,1,84.712143,11.127237,1.3304306,,55,4134,,,,,,1262,30.527334,2815,0,0,1,0,0,0,0,0,263,0,0,25,0,264,6.3860669,7,2,.048379295,30.527334,4.1339998
420003600391,Preparatory CS of Mathematics Science,Preparatory CS of Mathematics Science Tech and Careers,Regular school,High School,1,0,20.983606,.32786885,3,60.983608,7.7049179,18.032787,100,110,610,610,100,0,0,610,111,18.196722,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18.196722,.61000001
420003800393,Imhotep Institute CHS,Imhotep Institute CHS,Regular school,High School,1,0,24.868652,.17513135,1,99.824867,.17513135,0,,0,571,,,,,,100,17.513134,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.513134,.57099998
420003900398,Alliance for Progress CS,Alliance for Progress CS,Regular school,Elementary,1,0,46.153847,.21367522,2,94.658119,1.9230769,.42735043,,2,468,,,,,,81,17.307692,216,0,0,0,0,0,0,0,0,4,0,0,3,0,4,.85470086,1,0,0,17.307692,.46799999
420004000399,Multicultural Academy CS,Multicultural Academy CS,Regular school,High School,1,0,0,.35842294,4,93.189964,5.3763442,.35842294,100,1,279,279,100,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.27900001
420004100403,West Oak Lane CS,West Oak Lane CS,Regular school,Elementary,1,0,27.973978,0,1,99.907066,.092936806,0,99.349442,0,1076,1069,99.349442,0,0,1069,194,18.029739,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.029739,1.076
